name,category,count,japanese_name
yuzuhara_konomi,4,885,
komaki_manaka,4,1059,
len_(tsukihime),4,1168,
eureka_(eureka_seven),4,832,
2k-tan,4,734,
me-tan,4,760,
xp-tan,4,853,
shimazu_yoshino,4,843,
belldandy,4,795,
sakagami_tomoyo,4,851,
my_melody,4,1214,
kasuga_ayumu,4,1125,
sion_eltnam_atlasia,4,690,
white_mage_(final_fantasy),4,1383,
kuromi,4,1162,
lunamaria_hawke,4,956,
hisui_(tsukihime),4,1229,
yuuno_scrya,4,666,
fujimura_taiga,4,701,
lord_knight_(ragnarok_online),4,1083,
neco-arc,4,862,
minase_nayuki,4,723,
kooh,4,0,
zaku_ii,4,885,
yumizuka_satsuki,4,721,
kuga_natsuki,4,887,
kinomoto_sakura_(magic_dream_costume),4,0,
kan'u_unchou,4,701,
high_wizard_(ragnarok_online),4,1300,
minase_akiko,4,628,
tsukimiya_ayu,4,859,
tohno_shiki,4,1444,
kero_(cardcaptor_sakura),4,2126,
tenjouin_asuka,4,1335,
haman_karn,4,717,
kanaria,4,770,
lilith_(darkstalkers),4,2698,
san_(mononoke_hime),4,719,
hello_kitty_(character),4,1431,
saya_(saya_no_uta),4,894,
athrun_zala,4,1035,
koiwai_yotsuba,4,698,
roto_(dq3),4,837,
flonne,4,812,
nao_(mabinogi),4,648,
nakoruru,4,767,
spider-man,4,1721,
ibuki_fuuko,4,1065,
li_syaoran,4,911,
sanzen'in_nagi,4,799,
iroha_(samurai_spirits),4,1129,
aozaki_aoko,4,1564,
hatake_kakashi,4,1048,
euryale_(fate),4,1122,
hsien-ko,4,1153,
kirisame_marisa_(pc-98),4,754,
lacus_clyne,4,979,
dark_sakura,4,849,
okazaki_tomoya,4,803,
cagalli_yula_athha,4,1230,
sui-feng,4,822,
bedivere_(fate),4,727,
doraemon_(character),4,1009,
alphonse_elric,4,1136,
felicia_(darkstalkers),4,2098,
sailor_neptune,4,650,
sailor_uranus,4,697,
nicholas_d._wolfwood,4,737,
dejiko,4,1014,
kirakishou,4,645,
cheshire_cat_(alice_in_wonderland),4,737,
fio_germi,4,741,
yamanaka_ino,4,1040,
kino_(kino_no_tabi),4,1179,
nefertari_vivi,4,716,
jessica_albert,4,862,
venusaur,4,1077,
elly_(touhou),4,753,
kitashirakawa_chiyuri,4,775,
okazaki_yumemi,4,1215,
warrior_(dq3),4,933,
temari_(naruto),4,720,
vincent_valentine,4,1287,
