1girl,1人の女の子
solo,ソロ
long_hair,ロングヘア
breasts,胸
blush,赤面
looking_at_viewer,カメラ目線
smile,笑顔
short_hair,ショートヘア
open_mouth,口を開けて
bangs,前髪
blue_eyes,青い目
multiple_girls,複数の女の子
blonde_hair,ブロンドの髪
skirt,スカート
brown_hair,茶髪
large_breasts,巨乳
simple_background,シンプルな背景
black_hair,黒髪
hat,帽子
eyebrows_visible_through_hair,髪の毛を通して見える眉毛
hair_ornament,髪飾り
thighhighs,サイハイソックス
photoshop_(medium),Photoshop_(中)
red_eyes,赤い目
touhou,東方
shirt,シャツ
gloves,手袋
dress,ドレス
white_background,白色背景
1boy,1人の男の子
ribbon,リボン
long_sleeves,長袖
original,オリジナル
bow,弓
2girls,2人の女の子
navel,へそ
brown_eyes,茶色の目
cleavage,胸の谷間
twintails,ツインテール
animal_ears,動物の耳
holding,保持
medium_breasts,普通の胸
bare_shoulders,肩出し
school_uniform,制服
sitting,座っている
underwear,下着
hair_between_eyes,目の間の髪
very_long_hair,とても長い髪
jewelry,ジュエリー
green_eyes,緑の目
blue_hair,青い髪
monochrome,モノクロ
nipples,乳首
closed_mouth,口を閉じた
panties,パンティー
purple_eyes,紫の目
standing,立っている
kantai_collection,艦隊これくしょん
collarbone,鎖骨
comic,漫画
hair_ribbon,ヘアリボン
closed_eyes,目を閉じた
swimsuit,水着
tail,しっぽ
weapon,武器
jacket,ジャケット
greyscale,グレースケール
ponytail,ポニーテール
yellow_eyes,黄色い目
purple_hair,紫髪
pink_hair,ピンクの髪
braid,三つ編み
flower,花
ass,お尻
hair_bow,ヘアボウ
ahoge,アホ毛
upper_body,上半身
full_body,全身
:d,:d
short_sleeves,半袖
pantyhose,パンスト
white_shirt,白シャツ
heart,心臓
male_focus,男性フォーカス
bikini,ビキニ
hairband,ヘアバンド
pleated_skirt,プリーツスカート
red_hair,赤毛
boots,ブーツ
sweat,汗
cowboy_shot,カウボーイショット
sidelocks,サイドロック
detached_sleeves,取り外し可能な袖
earrings,イヤリング
food,食べ物
japanese_clothes,日本の服
white_hair,白髪
nude,ヌード
small_breasts,小さい胸
green_hair,緑髪
one_eye_closed,片目を閉じた
hetero,異性愛者
wings,翼
lying,嘘をつく
thighs,太もも
glasses,眼鏡
multiple_boys,複数の男の子
frills,フリル
necktie,ネクタイ
fate_(series),fate_(シリーズ)
serafuku,セーラー服
sky,空
multicolored_hair,多色の髪
parted_lips,唇を離した
shoes,靴
open_clothes,オープンな服
outdoors,屋外
horns,角
censored,検閲済み
barefoot,裸足
shorts,ショートパンツ
day,日
alternate_costume,代替衣装
sleeveless,ノースリーブ
elbow_gloves,肘手袋
choker,チョーカー
striped,縞模様
tongue,舌
penis,陰茎
teeth,歯
pointy_ears,尖った耳
hairclip,ヘアクリップ
midriff,腹部
fang,牙
sword,剣
solo_focus,ソロフォーカス
looking_back,振り返る
pussy,プッシー
black_gloves,黒い手袋
belt,ベルト
3girls,3人の女の子
puffy_sleeves,パフィースリーブ
tears,涙
cloud,雲
fate/grand_order,fate/グランドオーダー
cat_ears,猫耳
idolmaster,アイドルマスター
official_art,公式アート
artist_name,アーティスト名
white_gloves,白手袋
pants,ズボン
hair_flower,ヘアフラワー
signature,サイン
2boys,2人の男の子
miniskirt,ミニスカート
collared_shirt,襟付きシャツ
fingerless_gloves,指なし手袋
dark_skin,黒い肌
hood,フード
wide_sleeves,ワイドスリーブ
kimono,着物
pink_eyes,ピンクの目
grey_hair,白髪
indoors,屋内
chibi,ちび
sailor_collar,セーラーカラー
tongue_out,舌を出す
cum,精液
armpits,脇の下
scarf,スカーフ
blunt_bangs,鈍い前髪
black_skirt,黒いスカート
cape,ケープ
star_(symbol),星_(シンボル)
water,水
uniform,制服
on_back,背中側
bowtie,ちょうネクタイ
hand_up,手を上げる
spread_legs,脚を広げる
pokemon,ポケモン
yuri,百合
armor,鎧
bag,バッグ
sweatdrop,汗滴
bra,ブラジャー
character_name,キャラクター名
orange_hair,オレンジの髪
clothes_lift,洋服リフト
from_behind,後ろから
socks,靴下
necklace,ネックレス
white_panties,白いパンツ
rabbit_ears,ウサギの耳
black_eyes,黒い目
sex,セックス
grey_background,グレー背景
:o,:o
apron,エプロン
off_shoulder,オフショルダー
vocaloid,ボーカロイド
grin,にっこり笑う
huge_breasts,巨大な胸
twitter_username,twitter_ユーザー名
virtual_youtuber,バーチャルYouTuber
white_dress,白いドレス
nail_polish,ネイルポリッシュ
twin_braids,ツインブレイド
side_ponytail,サイドポニーテール
hair_over_one_eye,片方の目に髪の毛がかかっている
vest,ベスト
medium_hair,ミディアムヘア
holding_weapon,武器を持っている
covered_nipples,覆われた乳首
mole,ほくろ
aqua_eyes,アクアアイズ
black_footwear,黒い靴
stomach,胃
dated,日付付き
looking_at_another,他人を見ている
sketch,スケッチ
bracelet,ブレスレット
high_heels,ハイヒール
zettai_ryouiki,絶対領域
arm_up,腕を上げる
collar,襟
arms_up,腕を上げる
red_bow,レッドボウ
black_dress,黒のドレス
blurry,ぼやけた
sweater,セーター
two_side_up,ツーサイドアップ
lips,唇
tree,木
feet,足
shiny_hair,光沢のある髪
from_side,側から
cup,カップ
english_text,英語テキスト
speech_bubble,吹き出し
dark-skinned_female,肌の色が濃い女性
leotard,レオタード
military,軍隊
puffy_short_sleeves,パフィー半袖
red_ribbon,赤いリボン
idolmaster_cinderella_girls,アイドルマスターシンデレラガールズ
two-tone_hair,ツートンヘア
blue_skirt,青いスカート
head_tilt,頭を傾ける
book,本
vaginal,膣
blue_sky,青空
gun,銃
cat_tail,猫のしっぽ
groin,鼠径部
fingernails,爪
neckerchief,ネッカチーフ
maid,メイド
hand_on_hip,腰に手を当てる
plaid,チェック柄
mosaic_censoring,モザイク検閲
wrist_cuffs,手首カフス
wet,濡れた
v-shaped_eyebrows,V字型の眉毛
kneehighs,ニーハイソックス
shiny_skin,光沢のある肌
cosplay,コスプレ
open_jacket,オープンジャケット
flat_chest,平らな胸
coat,コート
